#module	recipe	olean_sha256	olean_size	ilean_sha256	ilean_size	v2_olean_sha256	vs_v2	reason_class	cb_detail	ilean_vs_v2	backend	lean_wall_s	maxrss_kb
CKLaneA1.Bridge	plain	61d0f73634b099205e804e180b455dccad6c94726787afcd790ce09fdc4c1875	176824	f23e4a0c932bddb690a1a627691646dadd395c21645892300600ad2ea0e0ca62	3748	61d0f73634b099205e804e180b455dccad6c94726787afcd790ce09fdc4c1875	IDENTICAL	-		IDENTICAL	cluster	5.512	1562292
CKLaneA1.FECore	plain	41840de5b75f9d618dc641476eaafa77ec38e27a30443b8f80ed01efa8f5c9ff	855016	f9528d788d08f6253248375b11f3b8f941367cd2b41fb932343bd426cda403f0	53734	41840de5b75f9d618dc641476eaafa77ec38e27a30443b8f80ed01efa8f5c9ff	IDENTICAL	-		IDENTICAL	workstation	9.0	2904968
CKLaneA1.FEData.C000	plain	9f7100b0d2812d5f0aeb4b00b3e64c81bc4125a0835ccc776eb141d49f8e00c0	1279944	f4ced0f36c9a34e2af7495208582e824f4739486cebc1b3d86ff32f200e286bc	1741	9f7100b0d2812d5f0aeb4b00b3e64c81bc4125a0835ccc776eb141d49f8e00c0	IDENTICAL	-		IDENTICAL	cluster	197.626	9770460
CKLaneA1.FEData.C001	plain	4b370d13cca9a7316e2608bbe13770ac873ca8ee38162bc8b82d46a914e86383	1219360	3c1102841367b70636965dbca0a777fcf8203734185f65cf34b2c0397e8f183e	1741	4b370d13cca9a7316e2608bbe13770ac873ca8ee38162bc8b82d46a914e86383	IDENTICAL	-		IDENTICAL	cluster	173.472	9078612
CKLaneA1.FEData.C002	plain	5729fe2f39d18406f4ab44f8ad90d53e1b1077456481283594f32199cb00d473	1199576	0eaedd9c3c104e7edec5f389ee10dce89d366f0cf412e9ebc05d16668624052b	1741	5729fe2f39d18406f4ab44f8ad90d53e1b1077456481283594f32199cb00d473	IDENTICAL	-		IDENTICAL	cluster	171.515	8674708
CKLaneA1.FEData.C003	plain	59bd7402724eaf6355010677a8f4a76c4ae684e6c94cd674c60ab6b7da5d0221	916544	260fee7135066edcf67e7e663e6d04f97bf561f92107ee82ca8686a959c081e1	1741	59bd7402724eaf6355010677a8f4a76c4ae684e6c94cd674c60ab6b7da5d0221	IDENTICAL	-		IDENTICAL	cluster	116.29	6761784
CKLaneA1.FEData.C004	plain	aea91793dc6246ea5a84e4533a2a9d7f7fd575a0f67cb1307b15b7e8f0474c63	1112952	3d2122eacd4d8e2da959bf26a2c7ef9c87ffaefc2a4deb34241ec7870d478edf	1741	aea91793dc6246ea5a84e4533a2a9d7f7fd575a0f67cb1307b15b7e8f0474c63	IDENTICAL	-		IDENTICAL	cluster	122.888	7862984
CKLaneA1.FEData.C005	plain	1a8e4f7f75cd9dfbd4ea76add48ab2519ef04050e5bac51f19ff79a80ebaf9c5	829656	a67e6b325d06a35f6ed93f18a33bb117942c7cfd5be2e974dd895c51bc2f110b	1722	1a8e4f7f75cd9dfbd4ea76add48ab2519ef04050e5bac51f19ff79a80ebaf9c5	IDENTICAL	-		IDENTICAL	cluster	69.222	5763652
CKLaneA1.FEData.C006	plain	04969b4b31ef060b9854d126020aa363c5b0366c521be38ec261cf317ee3fd11	910744	4bb40be2bee5af00e11499428d67a935713373cfdcf44d0e61d69931e24a0c90	1740	04969b4b31ef060b9854d126020aa363c5b0366c521be38ec261cf317ee3fd11	IDENTICAL	-		IDENTICAL	cluster	89.271	6110800
CKLaneA1.FEData.C007	plain	90f146222e1d92fe5403d3a8b291be04a8707dde01eb439eb36ec1296b808258	1011464	298f51033ea89a70568bf3c55320c75600e0d87b316fa3b9217fb23aa6e1a44b	1741	90f146222e1d92fe5403d3a8b291be04a8707dde01eb439eb36ec1296b808258	IDENTICAL	-		IDENTICAL	cluster	95.282	6645988
CKLaneA1.FEData.C008	plain	fb18fea799df9933b54c43104f3689c9354e752c8c6bc7aff11e15456bbb8f34	1134320	83acce3004ba7fcd129e0906a50ee9a8bfffd14178fdc9ebd16b8a0b6593b4bd	1741	fb18fea799df9933b54c43104f3689c9354e752c8c6bc7aff11e15456bbb8f34	IDENTICAL	-		IDENTICAL	cluster	115.862	7239144
CKLaneA1.FEData.C009	plain	6406e523317ae1be24a7aaddbe982d35625cb874bbef92b0c75a58db281d9692	1317416	3484881ff0abaa524337bd7654a312c8a251bbbfad8f73ec129e0292f5bf6422	1741	6406e523317ae1be24a7aaddbe982d35625cb874bbef92b0c75a58db281d9692	IDENTICAL	-		IDENTICAL	cluster	190.123	8055296
CKLaneA1.FEData.C010	plain	3d78c3e1831dbef0a3658bcd3c08cd4be943aaf0844887febec5680b60ff2b89	1489264	e3a8a7fcd93ebade15eb5732632885dbe3bf9dcf068a08651a03b6880497064e	1741	3d78c3e1831dbef0a3658bcd3c08cd4be943aaf0844887febec5680b60ff2b89	IDENTICAL	-		IDENTICAL	cluster	232.771	8869872
CKLaneA1.FEData.C011	plain	8cc024f8e59b1b30bb9c0b7d82f89a498e1bb5fc5b71a0ed61156c5f9645542d	1703288	bcd2b711e985714e1eeb65e88a75e7c5f47b396a64fd9a5263123968780d3700	1741	8cc024f8e59b1b30bb9c0b7d82f89a498e1bb5fc5b71a0ed61156c5f9645542d	IDENTICAL	-		IDENTICAL	cluster	300.917	10258864
CKLaneA1.FEData.C012	plain	15f3b7387c1923a55beb0ca8d9c793f83d162d4f7a19f716c980f94b17a99288	1895872	e8b45fb46c46a6f443cef0f01b7735982ce38ec0309c8e9e9315204ffb663c1b	1741	15f3b7387c1923a55beb0ca8d9c793f83d162d4f7a19f716c980f94b17a99288	IDENTICAL	-		IDENTICAL	workstation	1056.0	12232016
CKLaneA1.FEData.C013	plain	42d2622dc9bfddc7958cabccea4adb087e9e43188d9ece1c4619841c1677c082	1217888	57ce331ba36889d6b1b91918ce0db6d358a9db097da18df725aab29137cb770b	1741	42d2622dc9bfddc7958cabccea4adb087e9e43188d9ece1c4619841c1677c082	IDENTICAL	-		IDENTICAL	cluster	189.012	8411872
CKLaneA1.FEData.C014	plain	b57a78b46e73d1b9b6fa92b6ea7762d0777003ada30829f32ba97c3f1ec1ad86	1252160	c4008e422633e1106a878af292003d634820bb3925e63e0fdfd036a7fd31b8b5	1741	b57a78b46e73d1b9b6fa92b6ea7762d0777003ada30829f32ba97c3f1ec1ad86	IDENTICAL	-		IDENTICAL	cluster	155.007	8638112
CKLaneA1.FEData.C015	plain	94665c605aacd8e10a861457d562ae80402e16e5c813d17c58f85586ca627edc	1314448	c97a606be6ee2f6b6e64097c9cef0ea056f5fc380a9488bbad53d392bb57036e	1741	94665c605aacd8e10a861457d562ae80402e16e5c813d17c58f85586ca627edc	IDENTICAL	-		IDENTICAL	cluster	179.992	8940716
CKLaneA1.FEData.C016	plain	3e42c9b8c3ff04727b3bbcfb1609cb0462f99e448847cc033d15e22a1b0138d7	777944	7935abc79fd9113ad3136bba9f8f063c8b0f6d388013ab7ff30087ac3cd5d984	1722	3e42c9b8c3ff04727b3bbcfb1609cb0462f99e448847cc033d15e22a1b0138d7	IDENTICAL	-		IDENTICAL	cluster	85.207	5261812
CKLaneA1.FEFinal	plain	830fb4835ce2554941299a30d8536ec3cbc9fbabacc780d5fadaf5e6b33506f9	191920	60c7804cc291a6758e49cf64005ffc9338169347b599c8c63afee23d4421f69b	13258	830fb4835ce2554941299a30d8536ec3cbc9fbabacc780d5fadaf5e6b33506f9	IDENTICAL	-		IDENTICAL	workstation	9.0	2876780
CKLaneA1.FEStrip	plain	9e4046240885209807d33329574faf83fb3611dfbaf769a39045c99008449805	1612920	83b7c5eacce42a2563dac6d2eaf36e66f2a3bcbff2f53bd49e349eb74405febb	62209	9e4046240885209807d33329574faf83fb3611dfbaf769a39045c99008449805	IDENTICAL	-		IDENTICAL	workstation	17.0	2926656
CKLaneA1.Identities	plain	37f80a7b34268bc089cf19cbdcaa979a3492a57a618b9bf5c6c2856b4ac13a86	7336152	57619893d6931a0a72e5a5925791348d3c78aa1eaff72224e5c077306f3e6a60	7658	37f80a7b34268bc089cf19cbdcaa979a3492a57a618b9bf5c6c2856b4ac13a86	IDENTICAL	-		IDENTICAL	workstation	13.0	3049532
CKLaneA1.Interval	plain	7ac391d4728cfb1dc715d9df1a1f85f233a13bcbf2d15ae4c56cc86b8e17f251	566960	3329ae1b97a23591280d48e3991c42d77b67aca14af79b39d81604b68d435aef	39622	7ac391d4728cfb1dc715d9df1a1f85f233a13bcbf2d15ae4c56cc86b8e17f251	IDENTICAL	-		IDENTICAL	workstation	7.0	2881268
CKLaneA1.JnConvex	plain	8934e4eeee42b58de8e982280c475e3124772ee8f7c78e01ee612128b64d80f5	454672	6763aa45da8a8f389b194bf531604e7a0653580709eb9ea9a601297b6cd6ca68	13587	8934e4eeee42b58de8e982280c475e3124772ee8f7c78e01ee612128b64d80f5	IDENTICAL	-		IDENTICAL	workstation	8.0	2857152
CKLaneA1.R5Assembly	plain	5178a77912b5c614f82275ee9295cc36fdd047785fe694cdfbd894e32798531f	321448	febb5f737412dfd71b44b0e7da55df8983d27fc579788e845ae35f0f816af2f2	6472	5178a77912b5c614f82275ee9295cc36fdd047785fe694cdfbd894e32798531f	IDENTICAL	-		IDENTICAL	workstation	16.0	6790772
CKLaneA1.R5Box	plain	3aae7e2b3f87a3d2f4454bbed92002da7e1d2b8bd6bcef89ac1087802256e708	422336	2cd2f07469b75cef92022c74533381fdde96740e02e16d4470c9419ecd4bc6b1	22831	3aae7e2b3f87a3d2f4454bbed92002da7e1d2b8bd6bcef89ac1087802256e708	IDENTICAL	-		IDENTICAL	cluster	15.571	3564224
CKLaneA1.R5Cell	plain	419c1735fb0f554a3e4b7470420f0662242a169a2631ea46bae37c5346bfad57	2914864	17f1847ebf6cbc1a52858a839000d6b2b6e8c0d670c6760b74d2910e1862f141	103776	419c1735fb0f554a3e4b7470420f0662242a169a2631ea46bae37c5346bfad57	IDENTICAL	-		IDENTICAL	workstation	30.0	6872396
CKLaneA1.R5Core	plain	3cce445fc498005bb289cd6be7493727fde110e94d5affc3782374c69a33fd53	1600648	71305c842da02dc43356cf4259afe4a901c9d4778d99c958c2e661ab1a30859c	17444	3cce445fc498005bb289cd6be7493727fde110e94d5affc3782374c69a33fd53	IDENTICAL	-		IDENTICAL	workstation	63.0	6787800
CKLaneA1.R5Corner	plain	426c86d15454ae4ada01fa60d820d5b70bfd00bf1feaaa344ffcf2988560a9eb	3695160	962782047362a3b8d61d2b96e693c936c6d0ac469ee593bb5be0ea2fc429d754	68698	426c86d15454ae4ada01fa60d820d5b70bfd00bf1feaaa344ffcf2988560a9eb	IDENTICAL	-		IDENTICAL	workstation	41.0	7672700
CKLaneA1.R5Data.C000	plain	1a3e39d342044330d034beaf763830e55b0db91379739e7047519be1d4a1b71c	5611008	2b2c7924f4a151b6c2ec0b27bb524181e292f0cfd613e288838d32053f878eda	7303	1a3e39d342044330d034beaf763830e55b0db91379739e7047519be1d4a1b71c	IDENTICAL	-		IDENTICAL	workstation	152.0	7960412
CKLaneA1.R5Data.C001	plain	2be90663899c7b5589068224ae767ba0b814089e858783a7fca2857a6ef2591a	5082840	61920cfd7ccae1ba32ea4347a1364da283eb6b0f1c6f67d71045a11ccd88d89a	7303	2be90663899c7b5589068224ae767ba0b814089e858783a7fca2857a6ef2591a	IDENTICAL	-		IDENTICAL	workstation	146.0	7882036
CKLaneA1.R5Data.C002	plain	d2a864cde37c743aebf5c1e757dedc44cf848250f090f4b7f5e684e7e090764f	5545080	78445512ccaea73e0baa8fe849179516787b68238632d39c68c2c60fec5bdfec	7970	d2a864cde37c743aebf5c1e757dedc44cf848250f090f4b7f5e684e7e090764f	IDENTICAL	-		IDENTICAL	cluster	195.88	4518324
