#family	modules	lines	bytes	sample_module	check_heads(auto)	mechanisms(textual counts)	top_external_imports
GeneralCK.PsiOppositeLowEntropyOwner	1	91	4368	GeneralCK.PsiOppositeLowEntropyOwner			GeneralCK.PsiEndpointBellman:1;GeneralCK.PsiLowEntropyBias:1;GeneralCK.PsiSmallDistanceLowEntropy:1;GeneralCK.PsiFourRatioBridge:1
GeneralCK.PsiOuterEntropyExtension	1	126	5506	GeneralCK.PsiOuterEntropyExtension		norm_num:29	GeneralCK.PsiModerateEntropy:1;GeneralCK.PsiParentPhiFloor:1
GeneralCK.PsiParentContactEnvelope	1	153	7267	GeneralCK.PsiParentContactEnvelope		norm_num:11	GeneralCK.PsiOuterEntropy2048:1
GeneralCK.PsiParentDominance	1	360	16402	GeneralCK.PsiParentDominance		norm_num:9	GeneralCK.PsiParentEntropyGain:1;GeneralCK.RadialDerivatives:1;GeneralCK.EntropyParabola:1
GeneralCK.PsiParentElevenHalvesGain	1	143	7050	GeneralCK.PsiParentElevenHalvesGain		norm_num:34	GeneralCK.PsiFifthBiasAutomaticClosure:1
GeneralCK.PsiParentEntropyGain	1	175	7219	GeneralCK.PsiParentEntropyGain		norm_num:3	GeneralCK.ProfileLowerBounds:1;GeneralCK.SmallMeanEstimates:1;GeneralCK.Certificates.PilotData:1
GeneralCK.PsiParentFiveGain	1	122	5911	GeneralCK.PsiParentFiveGain		norm_num:29	GeneralCK.PsiFifthBiasClosure:1
GeneralCK.PsiParentFiveGainExtended	1	134	6592	GeneralCK.PsiParentFiveGainExtended		norm_num:34	GeneralCK.PsiQuarterBiasClosure:1
GeneralCK.PsiParentPhiFloor	1	67	2822	GeneralCK.PsiParentPhiFloor		norm_num:2	GeneralCK.PsiLowEntropyLeafReplay:1;GeneralCK.RadialContact:1
GeneralCK.PsiParentPolynomialBounds	1	96	3120	GeneralCK.PsiParentPolynomialBounds		norm_num:4	GeneralCK.PsiOuterEntropy2048:1
GeneralCK.PsiParentPolynomialBounds#*	1	33	1064	GeneralCK.PsiParentPolynomialBounds37			GeneralCK.PsiParentPolynomialBounds:1
GeneralCK.PsiPositiveEntropyClosure	1	94	4749	GeneralCK.PsiPositiveEntropyClosure			GeneralCK.PsiAnalyticCKClosure:1;GeneralCK.PsiGeneralLowEntropy:1
GeneralCK.PsiQuarterBiasClosure	1	356	17554	GeneralCK.PsiQuarterBiasClosure		norm_num:11	GeneralCK.PsiQuarterParentClosure:1
GeneralCK.PsiQuarterParentClosure	1	203	9794	GeneralCK.PsiQuarterParentClosure		norm_num:19	GeneralCK.PsiParentElevenHalvesGain:1
GeneralCK.PsiRadialDeficit	1	163	6796	GeneralCK.PsiRadialDeficit		norm_num:39	GeneralCK.EntropyRadialDerivatives:1;GeneralCK.RadialConcavity:1
GeneralCK.PsiRatioEightContactRefinement	1	187	9164	GeneralCK.PsiRatioEightContactRefinement		norm_num:12	GeneralCK.PsiQuarterBiasClosure:1
GeneralCK.PsiRegionLedger	1	126	5675	GeneralCK.PsiRegionLedger			GeneralCK.RemainingBellman:1
GeneralCK.PsiRetainedChildBridge	1	139	6103	GeneralCK.PsiRetainedChildBridge		norm_num:3	GeneralCK.PsiChildEntropyCoupling:1;GeneralCK.BellmanAssembly:1
GeneralCK.PsiSameRatioTail	1	253	10485	GeneralCK.PsiSameRatioTail		norm_num:39	GeneralCK.PsiLogSumOwner:1;GeneralCK.ScalarGap:1;GeneralCK.PhysicalSlope:1;GeneralCK.DeterministicCap:1;GeneralCK.Certificates.SmallMeanBounds:1
GeneralCK.PsiScalarOwnerCore	1	125	5333	GeneralCK.PsiScalarOwnerCore		rfl:1	GeneralCK.PsiFeasibleImbalance:1
GeneralCK.PsiSeventhBiasClosure	1	362	17361	GeneralCK.PsiSeventhBiasClosure		norm_num:5	GeneralCK.PsiEighthBiasClosure:1
GeneralCK.PsiSignedSplit	1	118	4677	GeneralCK.PsiSignedSplit		norm_num:3	GeneralCK.LogSum:1
GeneralCK.PsiSixthBiasClosure	1	402	19219	GeneralCK.PsiSixthBiasClosure		norm_num:11	GeneralCK.PsiSeventhBiasClosure:1
GeneralCK.PsiSmallDistanceBounds	1	134	5639	GeneralCK.PsiSmallDistanceBounds		norm_num:28	GeneralCK.PsiEndpointPlaneSymmetric:1;GeneralCK.PsiParentEntropyGain:1;GeneralCK.EntropyParabola:1;GeneralCK.RadialConcavity:1
GeneralCK.PsiSmallDistanceLowEntropy	1	190	8582	GeneralCK.PsiSmallDistanceLowEntropy		norm_num:6;rfl:1	GeneralCK.PsiSmallDistanceBounds:1
GeneralCK.PsiSplitLossBound	1	146	6179	GeneralCK.PsiSplitLossBound		norm_num:4	GeneralCK.PsiSignedSplit:1;GeneralCK.LowInformationMeans:1
GeneralCK.PsiThreeTenthsBiasClosure	1	90	4468	GeneralCK.PsiThreeTenthsBiasClosure			GeneralCK.PsiThreeTenthsRetainedWedge:1;GeneralCK.PsiThreeTenthsParentClosure:1
GeneralCK.PsiThreeTenthsContactRefinement	1	148	7257	GeneralCK.PsiThreeTenthsContactRefinement		norm_num:18	GeneralCK.PsiTwoSeventhsBiasClosure:1;GeneralCK.PsiEndpointPlaneNoFold:1
GeneralCK.PsiThreeTenthsParentClosure	1	195	9670	GeneralCK.PsiThreeTenthsParentClosure		norm_num:17	GeneralCK.PsiThreeTenthsParentGain:1;GeneralCK.PsiThreeTenthsContactRefinement:1
