#family	modules	lines	bytes	sample_module	check_heads(auto)	mechanisms(textual counts)	top_external_imports
GeneralCK.ReflectionHighBiasCore	1	110	4901	GeneralCK.ReflectionHighBiasCore		norm_num:10	GeneralCK.ReflectionSmallRatioFormula:1;GeneralCK.ReflectionRegularContact:1;GeneralCK.ReflectionHighBiasLog:1
GeneralCK.ReflectionHighBiasEntropy	1	102	4588	GeneralCK.ReflectionHighBiasEntropy		norm_num:4	GeneralCK.ReflectionRegularContact:1
GeneralCK.ReflectionHighBiasLargeAlgebra	1	211	9579	GeneralCK.ReflectionHighBiasLargeAlgebra		norm_num:2	GeneralCK.ReflectionHighBiasCore:1;GeneralCK.Certificates.MixedConstants:1
GeneralCK.ReflectionHighBiasLargeRegion	1	64	3210	GeneralCK.ReflectionHighBiasLargeRegion			GeneralCK.ReflectionHighBiasCases:1;GeneralCK.ReflectionHighBiasEntropy:1;GeneralCK.ReflectionHighBiasLargeAlgebra:1;GeneralCK.ReflectionHighBiasRational:1;GeneralCK.ReflectionHighBiasRegion:1
GeneralCK.ReflectionHighBiasLog	1	106	3951	GeneralCK.ReflectionHighBiasLog		norm_num:8	GeneralCK.SmallMeanAnalytic:1;GeneralCK.Certificates.SmallMeanCertificate:1
GeneralCK.ReflectionHighBiasRational	1	30	1307	GeneralCK.ReflectionHighBiasRational		norm_num:2	Mathlib.Data.Real.Basic:1;Mathlib.Tactic.GCongr:1;Mathlib.Tactic.NormNum:1;Mathlib.Tactic.Positivity:1
GeneralCK.ReflectionHighBiasRegion	1	23	1080	GeneralCK.ReflectionHighBiasRegion		norm_num:2	GeneralCK.Certificates.Generated.HighBiasCoarseBounds:1;GeneralCK.Certificates.Generated.HighBiasCoarseConstants:1
GeneralCK.ReflectionNormalized	1	77	3244	GeneralCK.ReflectionNormalized		norm_num:3	GeneralCK.Certificates.ReflectionExpressionJet:1
GeneralCK.ReflectionRegularContact	1	170	7706	GeneralCK.ReflectionRegularContact		norm_num:3	GeneralCK.ReflectionContactInverse:1
GeneralCK.ReflectionRegularDifference	1	94	3494	GeneralCK.ReflectionRegularDifference		norm_num:1	GeneralCK.ReflectionRegularContact:1;GeneralCK.ReflectionNormalized:1
GeneralCK.ReflectionRemainingRegions	1	41	1810	GeneralCK.ReflectionRemainingRegions			GeneralCK.ReflectionHighBiasLargeRegion:1;GeneralCK.Certificates.Generated.LowRatioFamily.FullCertificate:1
GeneralCK.ReflectionRemainingRegionsCertified	1	92	4310	GeneralCK.ReflectionRemainingRegionsCertified			GeneralCK.ReflectionRemainingRegionsExtended:1;GeneralCK.Certificates.Generated.MidpointExtensionFamily.FullCertificate:1;GeneralCK.Certificates.Generated.MidpointNextBandFamily.FullCertificate:1;GeneralCK.Certificates.ReflectionMidpointCombinedCoverage:1
GeneralCK.ReflectionRemainingRegionsExtended	1	43	2045	GeneralCK.ReflectionRemainingRegionsExtended		norm_num:1	GeneralCK.ReflectionRemainingRegions:1;GeneralCK.Certificates.Generated.MidpointFamily.FullCertificate:1;GeneralCK.Certificates.Generated.MidpointNextFamily.FullCertificate:1
GeneralCK.ReflectionSmallBias	1	15	540	GeneralCK.ReflectionSmallBias			GeneralCK.ReflectionSmallBiasDifferenceJet:1;GeneralCK.ReflectionSmallBiasRealAgreement:1
GeneralCK.ReflectionSmallBiasBivariateBase	1	918	38821	GeneralCK.ReflectionSmallBiasBivariateBase	equalityCheck:26	decide +kernel:26;rfl:2	GeneralCK.ReflectionSmallBiasJetRawSum:1
GeneralCK.ReflectionSmallBiasCandidate	1	79	3550	GeneralCK.ReflectionSmallBiasCandidate		norm_num:4	GeneralCK.Certificates.ReflectionSmallBiasCoefficientData:1;GeneralCK.ReflectionSmallBiasComplexDifference:1
GeneralCK.ReflectionSmallBiasCandidateCurvature	1	86	4035	GeneralCK.ReflectionSmallBiasCandidateCurvature		norm_num:1;rfl:2	GeneralCK.ReflectionSmallBiasMonomialCurvature:1
GeneralCK.ReflectionSmallBiasCandidateSparse	1	58	2480	GeneralCK.ReflectionSmallBiasCandidateSparse		norm_num:2;rfl:3	GeneralCK.ReflectionSmallBiasCandidate:1;GeneralCK.ReflectionSmallBiasPolynomialCertificate:1
GeneralCK.ReflectionSmallBiasCoefficientBounds	1	113	4841	GeneralCK.ReflectionSmallBiasCoefficientBounds	checkCoefficient:1;checkRows:1	decide:1;norm_num:5	Mathlib.Analysis.Complex.ExponentialBounds:1;Mathlib.Tactic.Linarith:1;Mathlib.Tactic.GCongr:1;Mathlib.Tactic.Positivity:1;Mathlib.Tactic.Ring:1
GeneralCK.ReflectionSmallBiasCompactFunctions	1	59	2638	GeneralCK.ReflectionSmallBiasCompactFunctions	equalityCheck:2	decide +kernel:2;rfl:2	GeneralCK.ReflectionSmallBiasJetFunctions:1;GeneralCK.ReflectionSmallBiasJetComposition:1;GeneralCK.ReflectionSmallBiasPolynomialCertificate:1
GeneralCK.ReflectionSmallBiasComplexDifference	1	147	7391	GeneralCK.ReflectionSmallBiasComplexDifference		norm_num:20;rfl:4	GeneralCK.ReflectionSmallBiasComplexDomain:1
GeneralCK.ReflectionSmallBiasComplexDomain	1	132	5651	GeneralCK.ReflectionSmallBiasComplexDomain		norm_num:10	GeneralCK.ReflectionComplexGlobalAnalytic:1
GeneralCK.ReflectionSmallBiasContactSum	1	658	24351	GeneralCK.ReflectionSmallBiasContactSum	equalityCheck:10	decide:1;decide +kernel:2	GeneralCK.ReflectionSmallBiasContactSumChecks1:1;GeneralCK.ReflectionSmallBiasContactSumChecks2:1;GeneralCK.ReflectionSmallBiasContactSumChecks3:1;GeneralCK.ReflectionSmallBiasContactSumChecks4:1;GeneralCK.ReflectionSmallBiasContactSumChecks5:1
GeneralCK.ReflectionSmallBiasContactSumData	1	9663	459693	GeneralCK.ReflectionSmallBiasContactSumData			GeneralCK.Certificates.ReflectionSmallBiasContactDegree2:1;GeneralCK.Certificates.ReflectionSmallBiasContactDegree4:1;GeneralCK.Certificates.ReflectionSmallBiasContactDegree6:1;GeneralCK.Certificates.ReflectionSmallBiasContactDegree8:1;GeneralCK.Certificates.ReflectionSmallBiasContactDegree10:1
GeneralCK.ReflectionSmallBiasContactTable	1	64	3343	GeneralCK.ReflectionSmallBiasContactTable		rfl:1	GeneralCK.Certificates.ReflectionSmallBiasPicardReplay1:1;GeneralCK.Certificates.ReflectionSmallBiasPicardReplay2:1;GeneralCK.Certificates.ReflectionSmallBiasPicardReplay3:1;GeneralCK.Certificates.ReflectionSmallBiasPicardReplay4:1;GeneralCK.Certificates.ReflectionSmallBiasPicardReplay5:1
GeneralCK.ReflectionSmallBiasContactValueJet	1	61	2812	GeneralCK.ReflectionSmallBiasContactValueJet		norm_num:3;rfl:3	GeneralCK.ReflectionSmallBiasJetFunctions:1
GeneralCK.ReflectionSmallBiasCurvatureAssembly	1	112	5517	GeneralCK.ReflectionSmallBiasCurvatureAssembly		rfl:2	GeneralCK.ReflectionSmallBiasCandidateCurvature:1;GeneralCK.ReflectionSmallBiasRemainderCurvature:1;Mathlib.Analysis.Complex.RealDeriv:1
GeneralCK.ReflectionSmallBiasDegreeCertificate	1	45	1797	GeneralCK.ReflectionSmallBiasDegreeCertificate	degreeBound:1	decide:1;rfl:1	GeneralCK.ReflectionSmallBiasPolynomialCertificate:1
GeneralCK.ReflectionSmallBiasDifferenceJet	1	177	6904	GeneralCK.ReflectionSmallBiasDifferenceJet	equalityCheck:6	decide +kernel:4;norm_num:1;rfl:4	GeneralCK.ReflectionSmallBiasDifferenceJetChecks1:1;GeneralCK.ReflectionSmallBiasDifferenceJetChecks2:1
GeneralCK.ReflectionSmallBiasDifferenceJetData	1	1084	52020	GeneralCK.ReflectionSmallBiasDifferenceJetData			GeneralCK.ReflectionSmallBiasContactSum:1;GeneralCK.ReflectionSmallBiasLinearSymmetry:1;GeneralCK.Certificates.ReflectionSmallBiasDifferenceTable:1;GeneralCK.ReflectionSmallBiasCurvatureAssembly:1
GeneralCK.ReflectionSmallBiasExponentCertificate	1	45	1720	GeneralCK.ReflectionSmallBiasExponentCertificate	aBound:1	decide:1;rfl:1	GeneralCK.ReflectionSmallBiasDegreeCertificate:1
GeneralCK.ReflectionSmallBiasFineCertificate	1	47	1893	GeneralCK.ReflectionSmallBiasFineCertificate	fineBound:1	decide:1;rfl:1	GeneralCK.ReflectionSmallBiasExponentCertificate:1
GeneralCK.ReflectionSmallBiasHalfSumPowers	1	552	21480	GeneralCK.ReflectionSmallBiasHalfSumPowers	equalityCheck:22	decide +kernel:22;norm_num:1	GeneralCK.ReflectionSmallBiasJetRawSum:1
GeneralCK.ReflectionSmallBiasInversePowerSeeds	1	837	31399	GeneralCK.ReflectionSmallBiasInversePowerSeeds	equalityCheck:23	decide +kernel:23;rfl:1	GeneralCK.ReflectionSmallBiasJetReplay:1
GeneralCK.ReflectionSmallBiasJet	1	107	4681	GeneralCK.ReflectionSmallBiasJet		norm_num:1	GeneralCK.ReflectionSmallBiasPolynomial:1
GeneralCK.ReflectionSmallBiasJetComposition	1	53	2457	GeneralCK.ReflectionSmallBiasJetComposition		rfl:2	GeneralCK.ReflectionSmallBiasJetConstructors:1
GeneralCK.ReflectionSmallBiasJetConstructors	1	104	4137	GeneralCK.ReflectionSmallBiasJetConstructors		rfl:2	GeneralCK.ReflectionSmallBiasJet:1
GeneralCK.ReflectionSmallBiasJetFunctions	1	69	2926	GeneralCK.ReflectionSmallBiasJetFunctions		rfl:2	GeneralCK.ReflectionSmallBiasJetInverse:1;GeneralCK.ReflectionSmallBiasPicard:1
GeneralCK.ReflectionSmallBiasJetInverse	1	34	1627	GeneralCK.ReflectionSmallBiasJetInverse		rfl:1	GeneralCK.ReflectionSmallBiasJetConstructors:1
GeneralCK.ReflectionSmallBiasJetRawSum	1	19	598	GeneralCK.ReflectionSmallBiasJetRawSum			GeneralCK.ReflectionSmallBiasJetReplay:1
GeneralCK.ReflectionSmallBiasJetReplay	1	42	2265	GeneralCK.ReflectionSmallBiasJetReplay		rfl:3	GeneralCK.ReflectionSmallBiasCompactFunctions:1
GeneralCK.ReflectionSmallBiasLinearSymmetry	1	56	2261	GeneralCK.ReflectionSmallBiasLinearSymmetry		rfl:1	GeneralCK.ReflectionSmallBiasJetRawSum:1
GeneralCK.ReflectionSmallBiasMonomialCurvature	1	72	3091	GeneralCK.ReflectionSmallBiasMonomialCurvature			GeneralCK.ReflectionSmallBiasCandidate:1
GeneralCK.ReflectionSmallBiasPartialCauchy	1	84	4012	GeneralCK.ReflectionSmallBiasPartialCauchy			GeneralCK.ReflectionSmallBiasRemainder:1;Mathlib.Analysis.Calculus.Deriv.Prod:1
GeneralCK.ReflectionSmallBiasPerspectiveJet	1	83	4071	GeneralCK.ReflectionSmallBiasPerspectiveJet		rfl:2	GeneralCK.ReflectionSmallBiasContactTable:1
GeneralCK.ReflectionSmallBiasPicard	1	69	3125	GeneralCK.ReflectionSmallBiasPicard		norm_num:5	GeneralCK.ReflectionSmallBiasComplexDifference:1;Mathlib.Analysis.Asymptotics.Lemmas:1
GeneralCK.ReflectionSmallBiasPolynomial	1	173	6815	GeneralCK.ReflectionSmallBiasPolynomial		norm_num:1;rfl:1	GeneralCK.ReflectionSmallBiasComplexDomain:1;Mathlib.Analysis.Asymptotics.Lemmas:1
GeneralCK.ReflectionSmallBiasPolynomialCertificate	1	18	776	GeneralCK.ReflectionSmallBiasPolynomialCertificate	equalityCheck:1	decide:1	GeneralCK.ReflectionSmallBiasPolynomial:1
GeneralCK.ReflectionSmallBiasRealAgreement	1	115	6249	GeneralCK.ReflectionSmallBiasRealAgreement		norm_num:12	GeneralCK.ReflectionSmallBiasCurvatureAssembly:1;GeneralCK.ReflectionRegularDifference:1
GeneralCK.ReflectionSmallBiasRemainder	1	69	3232	GeneralCK.ReflectionSmallBiasRemainder		norm_num:2	Mathlib.Analysis.Complex.Schwarz:1;Mathlib.Analysis.Complex.Liouville:1;Mathlib.Analysis.Asymptotics.Lemmas:1
GeneralCK.ReflectionSmallBiasRemainderCurvature	1	96	4374	GeneralCK.ReflectionSmallBiasRemainderCurvature			GeneralCK.ReflectionSmallBiasPartialCauchy:1
GeneralCK.ReflectionSmallRatio	1	113	5103	GeneralCK.ReflectionSmallRatio			GeneralCK.ReflectionNormalized:1;Mathlib.Analysis.Calculus.Deriv.MeanValue:1
GeneralCK.ReflectionSmallRatioFormula	1	95	3812	GeneralCK.ReflectionSmallRatioFormula		norm_num:1	GeneralCK.ReflectionSmallRatio:1
GeneralCK.ReflectionSmallRatioMidpoint	1	57	2766	GeneralCK.ReflectionSmallRatioMidpoint			GeneralCK.ReflectionSmallRatio:1;GeneralCK.Certificates.MidpointBounds:1
GeneralCK.ReflectionSmallRatioMidpointJet	1	25	1160	GeneralCK.ReflectionSmallRatioMidpointJet			GeneralCK.ReflectionSmallRatioMidpoint:1
GeneralCK.Regularization	1	98	3813	GeneralCK.Regularization		norm_num:5;rfl:1	GeneralCK.InformationIdentity:1;Mathlib.Tactic.FunProp:1
GeneralCK.RemainingBellman	1	41	2185	GeneralCK.RemainingBellman			GeneralCK.SmallMeanRegion:1;GeneralCK.LowInformationRegion:1;GeneralCK.ConditionalCK:1;GeneralCK.EqualMean:1
GeneralCK.ScalarGap	1	81	3597	GeneralCK.ScalarGap		rfl:1	GeneralCK.ProfileIncreasingCurvature:1;Mathlib.Analysis.Convex.Jensen:1
GeneralCK.SmallBoundaryPhiCompactBox	1	579	15980	GeneralCK.SmallBoundaryPhiCompactBox		decide +kernel:5;norm_num:25	GeneralCK.SmallBoundaryPhiTailBox:1
GeneralCK.SmallBoundaryPhiCompactBoxBounds	1	63	2654	GeneralCK.SmallBoundaryPhiCompactBoxBounds		norm_num:1	GeneralCK.SmallBoundaryPhiCompactBox:1
GeneralCK.SmallBoundaryPhiCompactClosure	1	61	2981	GeneralCK.SmallBoundaryPhiCompactClosure			GeneralCK.SmallBoundaryPhiCompactCoordinates:1;GeneralCK.SmallBoundaryPhiCompactBoxBounds:1;GeneralCK.SmallBoundaryPhiTailSource:1
GeneralCK.SmallBoundaryPhiCompactCoordinates	1	45	1703	GeneralCK.SmallBoundaryPhiCompactCoordinates		norm_num:6	GeneralCK.SmallBoundaryPhiCompactTransport:1;GeneralCK.SmallBoundaryPhiTailCoordinates:1
GeneralCK.SmallBoundaryPhiCompactTransport	1	130	5638	GeneralCK.SmallBoundaryPhiCompactTransport		norm_num:4	GeneralCK.SmallBoundaryPhiContactCertificate:1
GeneralCK.SmallBoundaryPhiContactCertificate	1	198	8710	GeneralCK.SmallBoundaryPhiContactCertificate			GeneralCK.SmallBoundaryPhiSchurReduction:1
GeneralCK.SmallBoundaryPhiLowContactClosure	1	71	3214	GeneralCK.SmallBoundaryPhiLowContactClosure			GeneralCK.SmallBoundaryPhiTailSource:1
GeneralCK.SmallBoundaryPhiLowContactTail	1	201	8614	GeneralCK.SmallBoundaryPhiLowContactTail		norm_num:7	GeneralCK.SmallBoundaryPhiContactCertificate:1;GeneralCK.PsiNormalizedLowEntropy:1
GeneralCK.SmallBoundaryPhiSchurReduction	1	246	11212	GeneralCK.SmallBoundaryPhiSchurReduction		norm_num:6	GeneralCK.SmallMeanPhiRetainedCutoff:1;GeneralCK.CorrectionConvexityCriterion:1
GeneralCK.SmallBoundaryPhiTailBox	1	727	24213	GeneralCK.SmallBoundaryPhiTailBox		decide +kernel:5;norm_num:25;rfl:2	GeneralCK.Certificates.NonnegativeBoxPolynomial:1
GeneralCK.SmallBoundaryPhiTailCoordinates	1	101	3522	GeneralCK.SmallBoundaryPhiTailCoordinates		norm_num:4	GeneralCK.SmallBoundaryPhiLowContactTail:1
GeneralCK.SmallBoundaryPhiTailSource	1	161	6998	GeneralCK.SmallBoundaryPhiTailSource		norm_num:1	GeneralCK.SmallBoundaryPhiTailCoordinates:1;GeneralCK.SmallBoundaryPhiTailBox:1
GeneralCK.SmallMeanAnalytic	1	135	5318	GeneralCK.SmallMeanAnalytic		norm_num:7	GeneralCK.ProfileLowerBounds:1
GeneralCK.SmallMeanCapTailBounds	1	38	1358	GeneralCK.SmallMeanCapTailBounds		norm_num:1	GeneralCK.LowInformationMeans:1
GeneralCK.SmallMeanEndpoint	1	59	2739	GeneralCK.SmallMeanEndpoint		norm_num:9	GeneralCK.SmallMeanEstimates:1;GeneralCK.PhysicalSlope:1;GeneralCK.Certificates.SmallMeanCertificate:1
GeneralCK.SmallMeanEstimates	1	112	5115	GeneralCK.SmallMeanEstimates		norm_num:8;rfl:3	GeneralCK.SmallMeanAnalytic:1
GeneralCK.SmallMeanMeans	1	158	6985	GeneralCK.SmallMeanMeans		rfl:4	GeneralCK.SmallMeanEstimates:1;GeneralCK.DeterministicCap:1
GeneralCK.SmallMeanPhiRetainedCutoff	1	226	11353	GeneralCK.SmallMeanPhiRetainedCutoff		norm_num:5	GeneralCK.FinalAssemblyAfterDiagnosticHybrid:1;GeneralCK.PureGapCapZeroReduction:1;GeneralCK.PhiBranchClosure:1;GeneralCK.PureGapFixedEntropyClosure:1;GeneralCK.PureGapE8Inverse:1
GeneralCK.SmallMeanRegion	1	99	4510	GeneralCK.SmallMeanRegion		norm_num:3	GeneralCK.SmallMeanEndpoint:1;GeneralCK.SmallMeanMeans:1;GeneralCK.ScalarGap:1;GeneralCK.BellmanAssembly:1;GeneralCK.LogSum:1
GeneralCK.Statement	1	63	2627	GeneralCK.Statement		norm_num:1	Mathlib.Analysis.SpecialFunctions.BinaryEntropy:1;Mathlib.Data.Fintype.BigOperators:1;Mathlib.Tactic.NormNum:1;Mathlib.Tactic.Linarith:1;Mathlib.Tactic.Ring:1
